fiscal_year,regime,country,section,rows,qty_imp,val_imp,qty_efc,val_efc,duty
1873,A,United States,FREE,390,16596502,12562840,17517328,11494265,148320.97
1873,B,1,DUTIABLE,2,229,2,229,0,0.0
1873,B,"1,218,509",DUTIABLE,2,4206,4206,2439121,2439121,103058.0
1873,B,13,DUTIABLE,2,7007,13,2948,4072,0.0
1873,B,15 23 1,DUTIABLE,1,61,61,0,0,0.0
1873,B,"15,774",DUTIABLE,1,6184,6184,21958,21958,0.0
1873,B,16,DUTIABLE,1,1468,16,1468,0,0.0
1873,B,2,DUTIABLE,4,1274,4,896,382,0.0
1873,B,22,DUTIABLE,1,9816,22,9816,0,0.0
1873,B,"33,470",DUTIABLE,1,51357,51357,33470,33470,8727.0
1873,B,39,DUTIABLE,1,61,61,100,100,6516.0
1873,B,44,DUTIABLE,1,15187,44,15187,0,0.0
1873,B,"49,244",DUTIABLE,1,6184,6184,106785,106785,30545.0
1873,B,5,DUTIABLE,2,168,5,173,5,0.0
1873,B,7,DUTIABLE,1,1070,7,1070,0,0.0
1873,B,777,DUTIABLE,1,613,613,777,777,14460.0
1873,B,876,DUTIABLE,1,625,625,1501,1501,23242.0
1873,B,9,DUTIABLE,2,3093,9,1059,2043,0.0
1873,B,94,DUTIABLE,1,12,12,106,106,542.0
1877,B,"1,122,432",FREE,1,186,0,0,1216,186.0
1877,B,"1,216",FREE,1,449,0,0,4650,449.0
1877,B,102,FREE,1,185,232,266,304,342.0
1877,B,12,FREE,1,292,0,0,39,292.0
1877,B,120,FREE,1,108065,12900,91625,26327,199690.0
1877,B,127,FREE,1,181,229,262,301,337.0
1877,B,128,FREE,8,908,1377,1841,2108,2698.0
1877,B,129,FREE,8,1093,920,1320,906,2725.0
1877,B,130,FREE,2,366,462,528,604,680.0
1877,B,131,FREE,1,184,232,235,303,341.0
1877,B,132,FREE,3,555,464,798,911,1028.0
1877,B,133,FREE,3,557,699,800,912,1031.0
1877,B,150,FREE,3,602,738,844,634,1102.0
1877,B,151,FREE,10,2016,2216,2539,2859,3584.0
1877,B,152,FREE,8,1622,1235,1698,2229,2957.0
1877,B,152 177,FREE,1,226,259,298,332,408.0
1877,B,153,FREE,11,2037,1734,1986,2871,3984.0
1877,B,154,FREE,11,2252,2485,2845,3200,4100.0
