gbp,verdict,measure,group,article,year,unit,winner,tier,favours,origin_sum,n_origins,origin_ratio,spread_pct,n_readings,candidates,commodity
46654570,,value,,cotton raw,1882,GBP,46654570,A,,0,0,0.0,1.33,8,"46,654,570 [6: as_1883/ch,as_1884/ch,as_1884/inf,as_1885/ch,as_1886/ch,as_1886/inf] | 46,034,570 [2: as_1882/ch,as_1882/inf]",
46654570,,quantity,cotton,raw,1882,,15929564,B,,0,0,0.0,0.0,7,"15,929,564 [5: as_1882/ch,as_1883/ch,as_1884/ch,as_1884/inf,as_1886/ch] | 15,929,561 [2: as_1882/inf,as_1885/ch]",AMBIGUOUS
46080719,origins-confirm-winner,quantity,cotton,raw,1891,Lbs.,17811476,A,,17811443,27,1.0,0.0,8,"17,811,476 [7: as_1891/ch,as_1891/inf,as_1892/ch,as_1894/ch,as_1895/ch,tn_1895/ch,tn_1895/inf] | 17,811,176 [1: as_1893/ch]",Cotton — Raw
45042296,,value,,cotton raw,1883,GBP,45042296,B,,0,0,0.0,0.07,7,"45,042,296 [6: as_1883/ch,as_1884/ch,as_1885/ch,as_1886/ch,as_1886/inf,as_1887/ch] | 45,012,296 [1: as_1884/inf]",
44485889,,value,,cotton raw,1884,GBP,44485889,B,,0,0,0.0,7.42,8,"44,485,889 [5: as_1885/ch,as_1886/ch,as_1887/ch,as_1888/ch,as_1888/inf] | 41,185,889 [1: as_1884/ch] | 41,185,589 [1: as_1884/inf] | 44,185,889 [1: as_1886/inf]",
43548179,,value,corn grain and meal,total,1886,GBP,43548179,B,,0,0,0.0,87.55,17,"43,548,179 [10: as_1886/ch,as_1886/inf,as_1887/ch,as_1887/inf,as_1888/ch,as_1888/inf,as_1889/ch,as_1889/inf,as_1890/ch,as_1890/inf] | 349,863,472 [4: as_1886/ch,as_1886/inf,as_1887/ch,as_1888/ch] | 349,662,754 [3: as_1889/ch,as_1889/inf,as_1890/ch]",
42772088,,value,,cotton raw,1880,GBP,42772088,A,,0,0,0.0,0.0,8,"42,772,088 [7: as_1880/ch,as_1881/ch,as_1882/ch,as_1882/inf,as_1883/ch,as_1884/ch,as_1884/inf] | 42,772,058 [1: as_1880/inf]",
42772088,origins-confirm-winner,quantity,cotton,raw,1880,,14541648,A,,14541648,18,1.0,0.02,8,"14,541,648 [6: as_1881/ch,as_1881/inf,as_1882/ch,as_1882/inf,as_1884/ch,as_1884/inf] | 14,544,648 [2: as_1880/ch,as_1883/ch]",Cotton — Raw
42691464,,value,corn grain and meal,total,1871,GBP,42691464,B,,0,0,0.0,87.1,12,"42,691,464 [7: as_1872/ch,as_1873/ch,as_1873/inf,as_1874/ch,as_1874/inf,as_1875/ch,as_1875/inf] | 331,015,480 [3: as_1872/ch,as_1873/ch,as_1875/ch] | 42,691,164 [1: as_1872/inf] | 331,015,180 [1: as_1874/ch]",
40180880,,value,,cotton raw,1876,GBP,40180880,B,,0,0,0.0,74.66,7,"40,180,880 [4: as_1877/ch,as_1878/ch,as_1879/ch,as_1879/inf] | 10,180,880 [2: as_1880/ch,as_1880/inf] | 40,180,680 [1: as_1876/ch]",
37883356,,value,,cotton raw,1892,GBP,37883356,A,,0,0,0.0,0.01,9,"37,888,356 [5: as_1892/ch,as_1893/ch,as_1895/ch,as_1896/ch,as_1896/inf] | 37,883,356 [4: as_1894/ch,as_1894/inf,tn_1895/ch,tn_1895/inf]",
36272039,,value,,cotton raw,1896,GBP,36272039,A,,0,0,0.0,56.8,10,"36,272,039 [8: as_1896/ch,as_1896/inf,as_1898/ch,as_1899/ch,as_1899/inf,tn_1899/ch,tn_1901/ch,tn_1901/inf] | 15,668,663 [2: as_1898/inf,tn_1899/inf]",
36180548,,value,,cotton raw,1879,GBP,36180548,B,,0,0,0.0,0.08,8,"36,180,548 [3: as_1879/ch,as_1880/ch,as_1880/inf] | 36,180,518 [3: as_1879/inf,as_1881/ch,as_1883/ch] | 36,150,348 [1: as_1882/ch] | 36,160,348 [1: as_1882/inf]",
35420852,,value,,cotton raw,1877,GBP,35420852,B,,0,0,0.0,0.85,7,"35,420,852 [4: as_1877/ch,as_1879/ch,as_1879/inf,as_1881/ch] | 35,120,852 [2: as_1880/ch,as_1880/inf] | 35,420,552 [1: as_1878/ch]",
