flow,volume,year,group,article,seq_from,seq_to,to_group,to_article,to_unit,rows,value,canada,primary,method,reference,from_block
export_uk,as_1897,1894,"BAGS AND SACKS, EMPTY",West Africa,5041,5071,BEER AND ALE,,Doz,7,6736,0,0,gapx4,as_1896,"BAGS AND SACKS, EMPTY/"
export_uk,as_1897,1894,"BAGS AND SACKS, EMPTY",South Africa,5076,5081,BEER AND ALE,,Doz,2,59549,0,0,gapx4,as_1896,"BAGS AND SACKS, EMPTY/"
export_uk,as_1897,1894,"BAGS AND SACKS, EMPTY",East Africa,5086,5223,BEER AND ALE,,Doz,28,774930,17873,0,gapx4,as_1896,"BAGS AND SACKS, EMPTY/"
export_uk,as_1897,1894,BLEACHING MATERIALS,,5926,6046,"Books, Printed",,Cwts,25,142914,0,0,gapx2,as_1896,BLEACHING MATERIALS/
export_uk,as_1897,1894,BLEACHING MATERIALS,Possessions in Indian Seas,6051,6158,"Books, Printed",,Cwts,22,350939,0,0,gapx2,as_1896,BLEACHING MATERIALS/
export_uk,as_1897,1894,BLEACHING MATERIALS,West Africa,6163,6188,"Books, Printed",,Cwts,6,4060,0,0,gapx2,as_1896,BLEACHING MATERIALS/
export_uk,as_1897,1894,BLEACHING MATERIALS,South Africa,6193,6198,"Books, Printed",,Cwts,2,122792,0,0,gapx2,as_1896,BLEACHING MATERIALS/
export_uk,as_1897,1894,BLEACHING MATERIALS,East Africa,6203,6248,"Books, Printed",,Cwts,10,139831,0,0,gapx2,as_1896,BLEACHING MATERIALS/
export_uk,as_1897,1894,BLEACHING MATERIALS,Possessions in Indian Seas,6260,6345,"Books, Printed",,Cwts,18,459620,66499,0,gapx2,as_1896,BLEACHING MATERIALS/
export_uk,as_1897,1894,BRICKS,South Africa,7178,7312,BUTTER,,,27,79033,0,0,gap+shapex2,as_1896,BRICKS/
export_uk,as_1897,1894,BRICKS,West Africa,7317,7337,BUTTER,,,5,684,0,0,gap+shapex2,as_1896,BRICKS/
export_uk,as_1897,1894,BRICKS,South Africa,7342,7451,BUTTER,,,20,18926,2055,0,gap+shapex2,as_1896,BRICKS/
export_uk,as_1897,1894,BRICKS,South Africa,7456,7570,CANDLES of all sorts,,,24,90436,0,0,gap+shapex2,as_1896,BRICKS/
export_uk,as_1897,1894,BRICKS,West Africa,7575,7742,CANDLES of all sorts,,,35,67768,0,0,gap+shapex2,as_1896,BRICKS/
export_uk,as_1897,1894,BRICKS,South Africa,7747,7752,CANDLES of all sorts,,,2,91360,0,0,gap+shapex2,as_1896,BRICKS/
export_uk,as_1897,1894,BRICKS,East Africa,7757,7887,CANDLES of all sorts,,,27,82193,2596,0,gap+shapex2,as_1896,BRICKS/
export_uk,as_1897,1894,CHEESE,East Africa,10330,10470,"CHEMICAL PRODUCTS and Preparations, not specially unenumerated",,Cwts,29,915227,0,0,gapx4,as_1896,CHEESE/
export_uk,as_1897,1894,CHEESE,Possessions in Indian Seas,10475,10621,"CHEMICAL PRODUCTS and Preparations, not specially unenumerated",,Cwts,30,630013,0,0,gapx4,as_1896,CHEESE/
export_uk,as_1897,1894,CHEESE,West Africa,10626,10646,"CHEMICAL PRODUCTS and Preparations, not specially unenumerated",,Cwts,5,732,0,0,gapx4,as_1896,CHEESE/
export_uk,as_1897,1894,CHEESE,South Africa,10651,10788,"CHEMICAL PRODUCTS and Preparations, not specially unenumerated",,Cwts,28,481124,34269,0,gapx4,as_1896,CHEESE/
